"","CDS_CODE","ETHNIC","GENDER","E7","E8","E9","E10","E11","E12","EUS","ETOT","D7","D8","D9","D10","D11","D12","DUS","DTOT","YEAR"
"1",1100170109835,0,"M",0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,1112
"2",1100170109835,0,"F",0,1,2,2,4,0,0,8,0,0,0,0,0,0,0,0,1112
"3",1100170109835,1,"M",0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1112
"4",1100170109835,1,"F",1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1112
"5",1100170109835,2,"M",13,8,12,10,4,6,0,32,0,1,0,0,0,1,0,1,1112
"6",1100170109835,2,"F",9,13,10,6,10,7,0,33,0,1,0,0,1,0,0,1,1112
"7",1100170109835,3,"M",3,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1112
"8",1100170109835,3,"F",2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1112
"9",1100170109835,4,"M",2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1112
"10",1100170109835,4,"F",3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1112
"11",1100170109835,5,"M",5,4,3,6,5,3,0,17,1,0,0,0,0,2,0,2,1112
"12",1100170109835,5,"F",9,3,4,8,7,8,0,27,0,0,0,1,2,0,0,3,1112
"13",1100170109835,6,"M",8,6,4,1,3,3,0,11,0,0,1,1,0,1,0,3,1112
"14",1100170109835,6,"F",2,6,7,2,4,1,0,14,1,0,0,0,0,0,0,0,1112
"15",1100170109835,7,"M",25,30,19,11,20,14,0,64,0,2,2,1,1,3,0,7,1112
"16",1100170109835,7,"F",34,42,40,30,28,25,0,123,1,5,2,1,1,2,0,6,1112
"17",1100170109835,9,"F",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1112
"18",1100170112607,0,"M",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1112
"19",1100170112607,0,"F",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1112
"20",1100170112607,1,"M",0,0,3,2,2,0,0,7,0,0,0,1,0,0,0,1,1112
"21",1100170112607,1,"F",0,0,0,3,2,0,0,5,0,0,0,0,1,0,0,1,1112
"22",1100170112607,2,"M",0,0,2,0,1,1,0,4,0,0,1,0,0,1,0,2,1112
"23",1100170112607,2,"F",0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,1112
"24",1100170112607,3,"F",0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1112
"25",1100170112607,4,"M",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1112
"26",1100170112607,4,"F",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1112
"27",1100170112607,5,"M",0,0,18,16,14,9,0,57,0,0,1,1,0,0,0,2,1112
"28",1100170112607,5,"F",0,0,23,10,15,5,0,53,0,0,0,0,1,1,0,2,1112
"29",1100170112607,6,"M",0,0,14,17,10,22,0,63,0,0,0,1,1,1,0,3,1112
"30",1100170112607,6,"F",0,0,21,38,35,16,0,110,0,0,0,2,2,1,0,5,1112
"31",1100170112607,7,"M",0,0,3,0,1,2,0,6,0,0,0,0,1,0,0,1,1112
