CDS_CODE,ETHNIC,GENDER,E7,E8,E9,E10,E11,E12,EUS,ETOT,D7,D8,D9,D10,D11,D12,DUS,DTOT,YEAR
1.10017E+12,0,M,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1314
1.10017E+12,0,F,1,1,0,0,2,1,0,3,0,0,0,0,0,0,0,0,1314
1.10017E+12,1,M,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1314
1.10017E+12,1,F,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314
1.10017E+12,2,M,6,10,10,5,10,6,0,31,1,0,0,0,0,0,0,0,1314
1.10017E+12,2,F,5,11,6,9,8,5,0,28,0,0,0,0,0,0,0,0,1314
1.10017E+12,3,M,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1314
1.10017E+12,3,F,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1314
1.10017E+12,4,F,2,1,2,0,0,1,0,3,0,0,0,0,0,0,0,0,1314
1.10017E+12,5,M,10,3,3,0,3,5,0,11,0,0,1,0,0,1,0,2,1314
1.10017E+12,5,F,7,3,7,5,7,3,0,22,1,1,0,0,0,1,0,1,1314
1.10017E+12,6,M,10,1,3,2,0,0,0,5,1,0,0,0,0,0,0,0,1314
1.10017E+12,6,F,4,6,1,1,4,1,0,7,0,0,0,0,0,0,0,0,1314
1.10017E+12,7,M,29,25,14,22,15,5,0,56,0,1,0,1,0,0,0,1,1314
1.10017E+12,7,F,32,31,27,41,31,19,0,118,0,0,1,0,1,0,0,2,1314
1.10017E+12,0,M,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,1314
1.10017E+12,1,M,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,1314
1.10017E+12,1,F,0,0,1,1,2,1,0,5,0,0,0,0,0,0,0,0,1314
1.10017E+12,2,M,0,0,1,1,2,0,0,4,0,0,0,0,0,0,0,0,1314
1.10017E+12,2,F,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1314
1.10017E+12,3,M,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1314
1.10017E+12,3,F,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,1314
1.10017E+12,4,M,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1314
1.10017E+12,4,F,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1314
1.10017E+12,5,M,0,0,25,20,18,11,0,74,0,0,0,0,0,0,0,0,1314
1.10017E+12,5,F,0,0,28,22,22,8,0,80,0,0,0,0,0,0,0,0,1314
1.10017E+12,6,M,0,0,14,17,17,9,0,57,0,0,0,1,0,0,0,1,1314
1.10017E+12,6,F,0,0,30,27,14,17,0,88,0,0,0,0,0,0,0,0,1314
1.10017E+12,7,M,0,0,5,4,0,0,0,9,0,0,0,1,0,0,0,1,1314
1.10017E+12,7,F,0,0,0,2,5,0,0,7,0,0,0,0,0,0,0,0,1314
1.10017E+12,9,M,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,1314
1.10017E+12,9,F,0,0,0,2,1,1,0,4,0,0,0,0,0,0,0,0,1314
1.10017E+12,2,M,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1314
1.10017E+12,2,F,0,0,4,0,1,1,0,6,0,0,0,0,0,0,0,0,1314
1.10017E+12,4,M,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1314
1.10017E+12,4,F,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1314
1.10017E+12,5,M,0,0,25,14,13,18,0,70,0,0,0,0,0,0,0,0,1314
1.10017E+12,5,F,0,0,17,21,26,18,0,82,0,0,0,0,0,0,0,0,1314
1.10017E+12,6,M,0,0,8,9,8,3,0,28,0,0,0,0,0,0,0,0,1314
1.10017E+12,6,F,0,0,6,13,9,9,0,37,0,0,0,0,0,0,0,0,1314
1.10017E+12,7,F,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1314
1.10017E+12,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1314
1.10017E+12,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1314
1.10017E+12,2,M,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1314
1.10017E+12,3,M,0,0,0,2,0,0,0,2,0,0,0,1,1,1,0,3,1314
1.10017E+12,3,F,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1314
1.10017E+12,4,M,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1314
1.10017E+12,4,F,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1314
