CDS_CODE,ETHNIC,GENDER,GRADS,UC_GRADS,YEAR
1.10017E+12,2,M,12,1,1415
1.10017E+12,5,M,1,0,1415
1.10017E+12,6,F,3,0,1415
1.10017E+12,6,M,1,0,1415
1.10017E+12,5,F,7,1,1415
1.10017E+12,2,F,12,0,1415
1.10017E+12,7,M,11,0,1415
1.10017E+12,7,F,21,3,1415
1.10017E+12,2,M,2,2,1415
1.10017E+12,6,F,11,11,1415
1.10017E+12,4,F,1,1,1415
1.10017E+12,1,M,1,1,1415
1.10017E+12,3,F,2,2,1415
1.10017E+12,9,M,2,2,1415
1.10017E+12,5,M,13,13,1415
1.10017E+12,1,F,2,2,1415
1.10017E+12,6,M,15,15,1415
1.10017E+12,5,F,19,19,1415
1.10017E+12,9,F,1,1,1415
1.10017E+12,7,F,1,1,1415
1.10017E+12,5,F,24,24,1415
1.10017E+12,2,F,1,1,1415
1.10017E+12,6,F,9,9,1415
1.10017E+12,6,M,7,7,1415
1.10017E+12,4,M,2,2,1415
1.10017E+12,5,M,11,11,1415
1.10017E+12,6,M,18,0,1415
1.10017E+12,5,M,17,0,1415
1.10017E+12,9,M,4,0,1415
1.10017E+12,7,M,1,0,1415
1.10017E+12,2,M,2,0,1415
1.10017E+12,7,F,5,0,1415
1.10017E+12,6,F,17,0,1415
1.10017E+12,5,F,39,0,1415
1.10017E+12,2,F,3,0,1415
1.10017E+12,4,M,2,0,1415
1.10017E+12,5,M,17,0,1415
1.10017E+12,6,M,4,0,1415
1.10017E+12,1,M,2,0,1415
1.10017E+12,7,M,6,0,1415
1.10017E+12,3,F,2,0,1415
1.10017E+12,9,M,2,0,1415
1.31617E+12,6,M,3,0,1415
1.31617E+12,6,F,2,0,1415
1.31617E+12,7,F,4,0,1415
1.31617E+12,7,M,8,0,1415
1.31617E+12,3,F,1,0,1415
1.31617E+12,4,M,3,0,1415
1.31617E+12,5,F,6,0,1415
1.31617E+12,5,M,8,0,1415
1.31617E+12,2,M,1,0,1415
1.31617E+12,4,F,1,0,1415
1.61119E+12,6,F,4,2,1415
1.61119E+12,3,M,1,1,1415
1.61119E+12,7,F,1,1,1415
1.61119E+12,7,M,3,2,1415
1.61119E+12,2,F,7,7,1415
1.61119E+12,4,F,2,2,1415
1.61119E+12,5,F,4,3,1415
1.61119E+12,2,M,8,8,1415
1.61119E+12,4,M,1,1,1415
