"","dist_year","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male","EnglishLearner","FreeReduced","Foster","ucCsu_asian","ucCsu_black","ucCsu_hisp","ucCsu_white","ucCsu_other","ucCsu_female","ucCsu_male","enroll_total","ucCsu_total","FemaleSuspensions","MaleSuspensions","TotalSuspensions","AsianSuspensions","BlackSuspensions","HispanicSuspensions","WhiteSuspensions","OtherSuspensions","Expulsion_Female","Expulsion_Male","Expulsion_Total","Expulsion_Asian","Expulsion_Black","Expulsion_Hispanic","Expulsion_White","Expulsion_Other","do_asian","do_black","do_hisp","do_white","do_other","do_female","do_male","do_total"
"1","10140_2013-14",13,609,1644,52,23,1057,1284,128,3974,27,0,4,29,0,0,22,11,2341,1306,4,20,24,0,1,4,10,NA,2,2,4,0,2,2,0,NA,13,495,1143,36,18,689,1016,1705
"2","10140_2014-15",14,463,1880,50,30,1131,1306,1425,2840,55,0,2,36,1,0,23,16,2437,1329,0,0,0,0,0,0,0,NA,0,4,4,0,1,3,0,NA,20,347,1165,27,22,726,855,1581
"3","10140_2015-16",10,318,1619,34,33,956,1058,883,2736,33,0,14,45,0,0,32,27,2014,1090,1,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,NA,4,298,1021,32,33,647,741,1388
"4","10140_2016-17",8,311,1534,48,45,896,1050,1418,1350,33,0,13,47,0,0,41,19,1946,1091,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,3,219,852,35,27,509,627,1136
"5","10280_2015-16",1,6,80,22,2,37,74,635,1150,1,0,0,0,0,0,0,0,111,74,4,53,57,NA,9,28,12,NA,0,0,0,NA,0,0,0,NA,1,3,10,0,0,1,13,14
"6","10330_2013-14",40,309,1987,1228,217,1670,2111,1685,6693,73,2,1,16,34,8,39,22,3781,2150,82,755,837,5,199,464,136,33,0,0,0,0,0,0,0,0,5,63,369,90,27,204,350,554
"7","10330_2014-15",51,255,1858,1140,244,1606,1942,1540,5018,107,1,8,38,32,12,57,34,3548,1999,87,551,638,4,138,371,97,28,0,0,0,0,0,0,0,0,1,29,148,45,12,104,131,235
"8","10330_2015-16",48,300,2006,1124,223,1665,2036,1957,6852,126,3,5,25,31,13,53,24,3701,2089,69,319,388,1,62,215,80,30,0,0,0,0,0,0,0,0,3,111,454,106,49,294,429,723
"9","10330_2016-17",50,304,1983,1148,243,1692,2036,1888,7608,104,1,4,15,30,3,29,24,3728,2065,159,579,738,1,152,454,99,32,0,2,2,0,1,0,1,0,7,69,403,95,30,214,390,604
"10","10470_2015-16",2,4,40,177,45,113,155,460,1952,3,0,0,0,0,0,0,0,268,155,0,1,1,NA,NA,1,0,NA,0,0,0,NA,NA,0,0,NA,0,0,1,9,2,3,9,12
"11","62380_2013-14",16,36,385,51,12,285,215,827,1345,4,0,0,0,0,0,0,0,500,215,2,14,16,0,0,7,9,NA,0,0,0,0,0,0,0,NA,6,10,63,10,3,42,50,92
"12","62380_2014-15",17,43,492,74,14,370,270,165,1495,10,0,0,0,0,0,0,0,640,270,1,26,27,0,0,17,10,NA,0,0,0,0,0,0,0,NA,3,6,66,7,1,41,42,83
"13","62380_2015-16",16,54,489,76,17,365,287,784,1466,14,0,2,29,3,0,26,8,652,313,9,9,18,0,0,17,1,NA,0,0,0,0,0,0,0,NA,3,7,59,10,3,33,49,82
"14","62380_2016-17",17,43,357,36,19,247,225,704,1313,2,0,0,4,1,0,1,4,472,226,0,10,10,0,0,10,0,NA,0,0,0,0,0,0,0,NA,3,6,40,7,1,23,34,57
"15","62430_2013-14",150,19,2487,183,33,1457,1415,2117,8614,14,14,1,108,11,5,96,43,2872,1511,116,460,576,12,6,525,30,NA,2,15,17,1,1,14,1,NA,2,0,20,1,0,9,14,23
"16","62430_2014-15",144,15,2526,177,34,1449,1447,1147,9834,32,11,3,107,13,3,83,54,2896,1530,99,395,494,7,2,459,25,NA,2,8,10,0,0,10,0,NA,1,0,15,1,0,9,8,17
"17","62430_2015-16",150,9,2605,165,29,1454,1504,2448,9889,35,23,1,129,15,4,110,62,2958,1614,122,411,533,12,12,485,22,NA,5,14,19,0,0,18,1,NA,0,0,18,0,1,10,9,19
"18","62430_2016-17",139,8,2623,149,23,1435,1507,1709,9832,25,24,0,125,14,3,108,58,2942,1615,168,465,633,16,11,556,45,NA,3,12,15,0,0,15,0,NA,0,0,12,0,0,5,7,12
"19","62810_2014-15",16,5,250,678,117,570,496,1124,2456,9,1,0,17,47,4,43,26,1066,539,54,149,203,0,NA,51,120,NA,2,4,6,0,NA,1,4,NA,1,0,5,12,1,2,17,19
"20","62810_2016-17",14,4,272,664,151,562,543,1373,2554,11,2,0,20,59,6,67,20,1105,610,91,355,446,0,NA,85,250,NA,1,6,7,0,NA,1,5,NA,0,0,1,4,1,2,4,6
"21","63040_2015-16",5,5,48,243,26,145,182,1466,5256,1,1,0,0,14,3,9,9,327,191,34,130,164,NA,1,9,144,NA,0,0,0,NA,0,0,0,NA,0,1,0,2,3,1,5,6
"22","64030_2014-15",9,8,181,403,89,342,348,1041,3443,10,0,0,8,30,5,27,16,690,375,31,80,111,0,6,17,69,NA,0,4,4,0,0,1,3,NA,0,0,5,6,1,8,4,12
"23","64030_2015-16",8,7,175,396,101,336,351,1817,3032,9,1,0,8,23,3,17,18,687,368,28,128,156,0,4,31,85,NA,0,6,6,0,0,0,4,NA,0,1,1,2,3,1,6,7
"24","64600_2013-14",23,140,696,594,82,771,764,1583,2555,10,0,0,1,0,0,1,0,1535,765,2,13,15,0,0,3,10,2,0,0,0,0,0,0,0,0,1,20,77,40,13,63,88,151
"25","64790_2013-14",83,262,1704,691,135,1380,1495,2396,8025,24,9,11,69,46,13,75,73,2875,1570,53,224,277,4,44,172,45,NA,0,0,0,0,0,0,0,NA,1,1,9,1,2,4,10,14
"26","64790_2014-15",88,242,1707,674,146,1348,1509,1906,8268,63,15,12,93,74,13,127,80,2857,1636,50,81,131,2,29,81,16,NA,2,7,9,0,2,6,1,NA,1,3,10,3,0,5,12,17
"27","64790_2015-16",90,239,1714,602,152,1306,1491,2549,8450,44,6,25,115,65,10,125,96,2797,1616,45,126,171,3,34,102,27,5,0,4,4,0,0,4,0,0,1,1,10,4,0,3,13,16
"28","64790_2016-17",98,200,1635,577,146,1216,1440,3154,8020,27,15,12,113,63,15,130,88,2656,1570,58,153,211,4,39,117,41,10,0,0,0,0,0,0,0,0,0,2,7,4,1,4,10,14
"29","64840_2013-14",292,226,7287,967,485,4439,4818,5908,18696,114,11,5,216,25,15,154,118,9257,4972,191,872,1063,11,55,824,108,65,2,13,15,0,0,13,1,1,0,1,35,1,3,16,24,40
"30","64840_2014-15",279,234,7181,886,440,4342,4678,6748,21217,147,32,9,359,58,41,317,182,9020,4995,159,592,751,2,47,557,98,47,1,10,11,0,1,10,0,0,1,2,30,3,1,19,18,37
"31","64840_2015-16",273,215,7119,833,434,4211,4663,6538,19614,160,24,14,415,54,37,325,219,8874,4988,186,540,726,5,30,598,74,19,0,0,0,0,0,0,0,0,0,0,44,0,5,17,32,49
"32","64840_2016-17",298,228,6949,775,409,4148,4511,5961,19360,127,27,11,399,53,37,320,207,8659,4831,177,491,668,17,45,538,52,16,1,1,2,0,0,2,0,0,0,4,27,6,3,14,26,40
"33","64980_2013-14",339,405,1722,2712,318,2611,2885,6182,9448,11,47,24,182,347,37,309,328,5496,3194,39,181,220,4,36,81,85,14,0,2,2,0,1,1,0,0,3,6,21,14,1,16,29,45
"34","64980_2014-15",339,419,1711,2645,313,2615,2812,5682,10557,26,62,34,188,362,39,340,345,5427,3152,62,214,276,6,47,93,114,16,1,3,4,0,2,1,0,1,2,3,18,15,3,15,26,41
"35","64980_2015-16",326,417,1730,2593,414,2625,2855,5268,9531,26,50,44,158,327,46,334,291,5480,3189,44,224,268,8,54,90,92,24,0,3,3,0,0,2,1,0,3,8,32,11,4,26,32,58
"36","64980_2016-17",319,370,1664,2526,447,2604,2722,5699,10264,13,44,36,166,280,61,310,277,5326,3032,70,221,291,5,35,138,96,17,0,1,1,0,0,0,1,0,2,5,12,8,5,16,16,32
"37","65060_2013-14",3518,644,3359,3348,1594,6144,6319,8583,23455,72,423,34,168,330,143,614,484,12463,6933,180,636,816,98,110,265,246,97,4,15,19,4,1,9,2,3,9,5,12,14,5,20,25,45
"38","65060_2014-15",3456,560,3406,3107,1703,6068,6164,9061,19762,86,454,45,204,268,164,655,480,12232,6819,160,489,649,88,76,237,188,60,1,15,16,1,1,7,6,1,3,1,13,6,4,13,14,27
"39","65060_2015-16",3382,533,3475,2977,1762,5988,6141,8458,21420,105,444,36,215,318,161,641,533,12129,6782,134,617,751,82,107,302,196,64,0,25,25,5,3,8,6,3,11,5,21,16,2,13,42,55
"40","65060_2016-17",3282,525,3580,2797,1795,5943,6036,8548,19460,80,426,45,239,266,219,703,492,11979,6739,109,502,611,58,67,249,158,79,2,19,21,1,1,12,5,2,7,2,14,2,2,14,13,27
"41","66290_2014-15",6,7,352,325,9,353,346,1525,3178,2,1,1,28,31,2,44,19,699,390,14,64,78,0,NA,55,23,NA,0,0,0,0,NA,0,0,NA,0,0,1,1,1,1,2,3
"42","66290_2016-17",5,4,307,321,11,330,318,2298,2107,1,0,0,17,30,1,30,18,648,348,5,20,25,0,NA,14,9,NA,0,0,0,0,NA,0,0,NA,0,0,5,1,0,3,3,6
"43","66530_2014-15",206,19,376,1268,171,992,1048,2104,6024,11,12,2,22,62,8,56,50,2040,1104,37,242,279,8,5,73,174,19,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0
"44","66670_2013-14",860,105,22903,1173,369,12989,12421,24181,48581,147,133,13,1360,161,27,1023,671,25410,13444,992,3216,4208,19,20,4090,43,36,5,54,59,0,0,58,1,0,4,1,360,9,3,159,218,377
"45","66670_2014-15",820,96,22784,1151,372,12924,12299,25379,57111,262,121,11,1393,179,61,1114,651,25223,13413,824,2517,3341,18,22,3251,37,13,6,29,35,1,0,34,0,0,3,1,240,3,0,98,149,247
"46","66670_2015-16",836,86,22600,1153,439,12959,12155,22749,59329,219,102,9,1439,188,39,1085,692,25114,13240,662,2055,2717,5,16,2650,27,19,5,22,27,0,1,26,0,0,2,1,144,7,0,62,92,154
"47","66670_2016-17",892,75,22422,1144,455,12874,12114,21023,56503,226,128,8,1460,165,45,1112,694,24988,13226,646,2097,2743,20,15,2654,30,24,5,25,30,0,1,27,1,1,6,2,200,2,2,84,128,212
"48","67090_2013-14",91,208,7399,1085,135,4391,4527,6892,20028,122,11,6,276,53,8,212,142,8918,4739,317,1075,1392,7,72,1103,178,32,17,35,52,1,3,43,5,0,3,3,149,23,5,83,100,183
"49","67090_2014-15",86,194,7504,970,116,4365,4505,5883,20560,155,8,6,306,47,6,228,145,8870,4733,240,827,1067,0,54,851,138,24,8,30,38,0,1,31,6,0,1,3,77,2,1,30,54,84
"50","67090_2015-16",90,193,7512,935,135,4375,4490,6709,20813,154,9,9,327,60,8,264,149,8865,4754,210,820,1030,7,45,836,111,31,8,39,47,2,2,37,3,3,1,1,75,14,0,32,59,91
"51","67090_2016-17",89,194,7580,861,155,4367,4512,6448,21319,112,8,14,399,56,8,290,195,8879,4802,242,774,1016,6,50,828,117,15,17,40,57,0,2,51,3,1,0,4,64,10,2,32,48,80
"52","67330_2013-14",896,649,1438,5123,554,4134,4526,9651,21531,34,96,21,79,376,29,319,282,8660,4845,455,1437,1892,23,570,413,724,162,16,50,66,1,13,18,29,5,2,15,11,26,9,27,36,63
"53","67330_2014-15",997,633,1542,5139,590,4261,4640,8068,25011,55,100,22,53,400,35,310,300,8901,4950,441,1305,1746,48,547,357,657,137,14,30,44,1,10,12,19,2,0,9,14,29,5,15,42,57
"54","67330_2015-16",1106,587,1667,5161,650,4458,4713,8439,24043,59,113,24,67,382,52,343,295,9171,5056,508,1418,1926,36,531,433,713,213,12,19,31,0,9,5,11,6,0,11,13,31,3,21,37,58
"55","67330_2016-17",1217,571,1754,5198,749,4691,4798,7788,21071,87,116,21,76,443,60,381,335,9489,5179,367,1209,1576,33,369,397,594,183,8,24,32,0,12,8,9,3,1,5,9,13,3,12,19,31
"56","67710_2013-14",209,1324,15692,929,451,8901,9704,12487,35112,294,20,62,738,62,30,531,381,18605,10235,1773,4888,6661,24,1011,5188,337,101,2,7,9,0,2,7,0,0,2,21,222,12,2,116,143,259
"57","67710_2014-15",210,1226,15667,877,463,8810,9633,11049,39619,322,17,56,846,50,53,568,454,18443,10201,1290,3542,4832,15,788,3707,252,70,2,16,18,0,4,14,0,0,1,20,233,20,1,95,180,275
"58","67710_2015-16",224,1170,15434,822,420,8672,9398,10959,44276,338,20,62,944,47,43,665,451,18070,10063,558,1916,2474,11,482,1789,133,59,3,16,19,0,4,13,2,0,0,13,171,13,1,58,140,198
"59","67710_2016-17",200,1100,15336,762,425,8596,9227,10696,44440,337,25,67,1033,52,47,725,499,17823,9952,677,2212,2889,10,376,2235,188,80,6,28,34,1,1,31,1,0,1,6,176,9,2,63,131,194
"60","67850_2013-14",125,1589,9742,579,268,6040,6263,6963,23159,258,11,35,278,27,7,219,139,12303,6482,1334,3693,5027,14,1381,3282,234,116,5,44,49,0,9,35,3,2,2,42,206,20,6,107,169,276
"61","67850_2014-15",128,1484,9875,515,256,6055,6203,6803,26041,291,22,67,508,26,12,396,239,12258,6599,694,2169,2863,4,780,1835,160,84,0,0,0,0,0,0,0,0,1,36,191,14,4,106,140,246
"62","67850_2015-16",107,1356,9823,474,251,5950,6061,6863,29107,261,6,64,506,30,14,383,237,12011,6444,631,2007,2638,2,615,1841,107,73,5,27,32,0,7,24,1,0,1,29,118,12,3,64,99,163
"63","67850_2016-17",113,1234,9827,436,250,5832,6028,7035,25701,262,17,68,509,22,14,367,263,11860,6395,838,2192,3030,12,650,2124,151,NA,0,2,2,0,0,2,0,NA,1,32,115,6,5,69,90,159
"64","68130_2013-14",370,1622,7842,10425,2296,10865,11690,4858,11048,91,46,159,631,1162,216,1230,984,22555,12920,322,1037,1359,7,237,456,533,126,15,112,127,1,20,57,39,10,3,33,134,207,46,169,254,423
"65","68130_2014-15",389,1623,7889,10067,2252,10745,11475,4830,14429,98,60,125,526,837,223,1004,767,22220,12479,278,1048,1326,7,248,420,537,114,10,69,79,2,11,24,37,5,4,27,116,91,31,93,176,269
"66","68130_2015-16",446,1580,8172,9498,2164,10516,11344,4986,16265,87,62,134,585,823,178,987,795,21860,12331,255,999,1254,20,251,449,410,124,18,78,96,2,17,33,35,9,5,18,80,68,21,75,117,192
"67","68130_2016-17",479,1477,8403,9249,2101,10475,11234,5536,16618,76,61,135,729,1003,242,1243,927,21709,12477,317,1106,1423,20,230,527,531,115,25,88,113,1,17,48,35,12,6,28,169,115,21,115,224,339
"68","68650_2013-14",45,50,545,967,107,833,881,4349,3595,12,3,2,24,49,5,48,35,1714,929,97,356,453,1,12,218,210,NA,0,5,5,0,1,3,1,NA,0,1,14,12,1,13,15,28
"69","68650_2014-15",51,61,583,1005,147,960,887,3248,4514,7,3,3,18,39,6,36,33,1847,923,51,178,229,3,5,95,116,NA,0,2,2,0,1,1,0,NA,3,2,8,11,6,14,16,30
"70","68650_2015-16",72,71,643,1045,182,1063,950,3100,4791,12,5,0,25,66,7,68,35,2013,1018,50,204,254,2,7,96,135,14,0,0,0,0,0,0,0,0,1,2,17,5,9,17,17,34
"71","68650_2016-17",93,61,706,1078,245,1127,1056,3187,3910,11,6,2,25,63,10,70,36,2183,1126,86,253,339,1,11,143,167,17,0,3,3,0,1,2,0,0,2,2,28,27,7,40,26,66
"72","68700_2014-15",33,38,573,1445,101,1041,1149,4610,7603,32,2,2,19,117,10,80,70,2190,1229,51,167,218,0,10,72,125,NA,1,2,3,0,0,2,1,NA,0,1,1,4,0,1,5,6
"73","68700_2015-16",35,40,620,1429,104,1086,1142,4158,7638,38,5,1,20,114,5,77,68,2228,1219,82,261,343,0,12,131,188,12,0,10,10,0,0,4,6,0,0,0,4,6,1,5,6,11
"74","68700_2016-17",38,38,631,1402,104,1068,1145,4474,8590,48,5,0,28,84,0,67,50,2213,1212,52,249,301,2,13,102,171,NA,2,10,12,0,0,4,7,NA,0,2,9,5,1,8,9,17
"75","68890_2013-14",25,7,692,734,67,750,775,904,4239,8,3,1,29,73,7,61,52,1525,836,50,142,192,0,0,132,53,NA,0,2,2,0,0,2,0,NA,0,0,17,3,0,4,16,20
